date,activityType,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"04/05/2017, 00:00:00 +0800",Pedometer,24416.0,0.0,0.0,14479.0,0.0
"04/06/2017, 00:00:00 +0800",Pedometer,6734.0,0.0,0.0,3967.0,0.0
"04/07/2017, 00:00:00 +0800",Pedometer,13257.0,0.0,0.0,7885.0,0.0
"04/08/2017, 00:00:00 +0800",Pedometer,3945.0,0.0,0.0,2444.0,0.0
"04/09/2017, 00:00:00 +0800",Pedometer,5709.0,0.0,0.0,3430.0,0.0
"04/10/2017, 00:00:00 +0800",Pedometer,5020.0,0.0,0.0,2894.0,0.0
"04/11/2017, 00:00:00 +0800",Pedometer,8089.0,0.0,0.0,4533.0,0.0
"04/12/2017, 00:00:00 +0800",Pedometer,254.0,0.0,0.0,169.0,0.0
"04/13/2017, 00:00:00 +0800",Pedometer,323.0,0.0,0.0,231.0,0.0
"04/14/2017, 00:00:00 +0800",Pedometer,1820.0,0.0,0.0,1207.0,0.0
"04/15/2017, 00:00:00 +0800",Pedometer,10717.0,0.0,0.0,6333.0,0.0
"04/16/2017, 00:00:00 +0800",Pedometer,3847.0,0.0,0.0,2261.0,0.0
"04/17/2017, 00:00:00 +0800",Pedometer,726.0,0.0,0.0,506.0,0.0
"04/18/2017, 00:00:00 +0800",Pedometer,584.0,0.0,0.0,387.0,0.0
"04/19/2017, 00:00:00 +0800",Pedometer,6937.0,0.0,0.0,4080.0,0.0
"04/20/2017, 00:00:00 +0800",Pedometer,3562.0,0.0,0.0,2268.0,0.0
"04/21/2017, 00:00:00 +0800",Pedometer,2885.0,0.0,0.0,1774.0,0.0
"04/22/2017, 00:00:00 +0800",Pedometer,1088.0,0.0,0.0,693.0,0.0
"04/23/2017, 00:00:00 +0800",Pedometer,9747.0,0.0,0.0,5594.0,0.0
"04/24/2017, 00:00:00 +0800",Pedometer,6352.0,0.0,0.0,3687.0,0.0
"04/25/2017, 00:00:00 +0800",Pedometer,3418.0,0.0,0.0,2039.0,0.0
"04/26/2017, 00:00:00 +0800",Pedometer,8884.0,0.0,0.0,5110.0,0.0
"04/27/2017, 00:00:00 +0800",Pedometer,631.0,0.0,0.0,433.0,0.0
"04/28/2017, 00:00:00 +0800",Pedometer,8497.0,0.0,0.0,5047.0,0.0
"04/29/2017, 00:00:00 +0800",Pedometer,732.0,0.0,0.0,475.0,0.0
"04/30/2017, 00:00:00 +0800",Pedometer,3042.0,0.0,0.0,1837.0,0.0
"05/01/2017, 00:00:00 +0800",Pedometer,3668.0,0.0,0.0,2241.0,0.0
"05/02/2017, 00:00:00 +0800",Pedometer,139.0,0.0,0.0,96.0,0.0
"05/03/2017, 00:00:00 +0800",Pedometer,10523.0,0.0,0.0,6093.0,0.0
"05/04/2017, 00:00:00 +0800",Pedometer,5967.0,0.0,0.0,3700.0,0.0
"05/05/2017, 00:00:00 +0800",Pedometer,3817.0,0.0,0.0,2169.0,0.0
"05/06/2017, 00:00:00 +0800",Pedometer,3450.0,0.0,0.0,2064.0,0.0
"05/07/2017, 00:00:00 +0800",Pedometer,6052.0,0.0,0.0,3541.0,0.0
"05/08/2017, 00:00:00 +0800",Pedometer,422.0,0.0,0.0,299.0,0.0
"05/09/2017, 00:00:00 +0800",Pedometer,8624.0,0.0,0.0,5027.0,0.0
"05/10/2017, 00:00:00 +0800",Pedometer,7721.0,0.0,0.0,4369.0,0.0
"05/11/2017, 00:00:00 +0800",Pedometer,7350.0,0.0,0.0,4470.0,0.0
"05/12/2017, 00:00:00 +0800",Pedometer,5677.0,0.0,0.0,3199.0,0.0
"05/13/2017, 00:00:00 +0800",Pedometer,671.0,0.0,0.0,469.0,0.0
"05/14/2017, 00:00:00 +0800",Pedometer,7048.0,0.0,0.0,4153.0,0.0
"05/15/2017, 00:00:00 +0800",Pedometer,3678.0,0.0,0.0,2236.0,0.0
"05/16/2017, 00:00:00 +0800",Pedometer,9679.0,0.0,0.0,5536.0,0.0
"05/17/2017, 00:00:00 +0800",Pedometer,4067.0,0.0,0.0,2490.0,0.0
"05/18/2017, 00:00:00 +0800",Pedometer,9796.0,0.0,0.0,6347.0,0.0
