com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6786,08b5b665-65bb-4cbc-ac63-c1237abf676b.binning_data.json,3965537,6000,3,2019-03-17 15:19:27.186,com.sec.android.app.shealth,2019-03-16 13:12:15.581,08b5b665-65bb-4cbc-ac63-c1237abf676b.source_info.json,1.1950538,4739.031,261.89,6783,VfS0qUERdZ,com.sec.android.app.shealth,0,08b5b665-65bb-4cbc-ac63-c1237abf676b.achievement.json,08b5b665-65bb-4cbc-ac63-c1237abf676b,1552780800000,
7491,dfaf02ef-3bdb-4d90-b214-df88c4ac0b42.binning_data.json,4309302,6000,38,2019-02-10 16:00:00.647,com.sec.android.app.shealth,2019-02-10 16:00:00.647,,6.8943267,5703.41,315.63,7453,NakFKIhnVg,com.sec.android.app.shealth,0,dfaf02ef-3bdb-4d90-b214-df88c4ac0b42.achievement.json,dfaf02ef-3bdb-4d90-b214-df88c4ac0b42,1549756800000,
8931,442cef5b-e9b9-44f9-acd6-ba520df00bde.binning_data.json,4976078,6000,5,2019-02-13 16:00:00.585,com.sec.android.app.shealth,2019-02-13 16:00:00.585,,1.8888888,6837.37,362.31,8926,NakFKIhnVg,com.sec.android.app.shealth,0,442cef5b-e9b9-44f9-acd6-ba520df00bde.achievement.json,442cef5b-e9b9-44f9-acd6-ba520df00bde,1550016000000,
14503,8e99ce30-05fd-4d3c-9919-b70469f7863f.binning_data.json,7690340,6000,32,2019-04-17 13:55:05.542,com.sec.android.app.shealth,2019-04-16 17:32:06.565,8e99ce30-05fd-4d3c-9919-b70469f7863f.source_info.json,1.4560683,11197.66,590.61993,14471,VfS0qUERdZ,com.sec.android.app.shealth,0,8e99ce30-05fd-4d3c-9919-b70469f7863f.achievement.json,8e99ce30-05fd-4d3c-9919-b70469f7863f,1555459200000,
23176,ed92e361-5b19-4147-897d-28b23dc9e780.binning_data.json,12634828,6000,5,2019-02-21 12:37:00.219,com.sec.android.app.shealth,2019-02-20 22:07:50.751,ed92e361-5b19-4147-897d-28b23dc9e780.source_info.json,1.3585753,17165.365,928.3219,23171,VfS0qUERdZ,com.sec.android.app.shealth,0,ed92e361-5b19-4147-897d-28b23dc9e780.achievement.json,ed92e361-5b19-4147-897d-28b23dc9e780,1550707200000,
8576,0741c935-344a-4f26-80b8-8a7940edf77a.binning_data.json,4698492,6000,28,2019-02-16 16:00:00.637,com.sec.android.app.shealth,2019-02-15 16:10:33.190,,1.9444443,6373.97,366.56,8548,NakFKIhnVg,com.sec.android.app.shealth,0,0741c935-344a-4f26-80b8-8a7940edf77a.achievement.json,0741c935-344a-4f26-80b8-8a7940edf77a,1550275200000,
11763,ffdddcfe-88ed-4cc0-b948-42e3253321d4.binning_data.json,6244622,6000,0,2019-02-19 01:06:13.302,com.sec.android.app.shealth,2019-02-19 01:06:13.302,,2.2222223,8497.302,458.7,11763,DQFceaQIwH,com.sec.android.app.shealth,0,ffdddcfe-88ed-4cc0-b948-42e3253321d4.achievement.json,ffdddcfe-88ed-4cc0-b948-42e3253321d4,1550448000000,
6204,f9dbe82d-993b-4ddc-b6dc-f5a7a1d60689.binning_data.json,3591370,6000,0,2019-03-19 13:00:00.536,com.sec.android.app.shealth,2019-03-19 13:00:00.536,,1.5383319,4609.4395,256.03998,6204,NakFKIhnVg,com.sec.android.app.shealth,1182,f9dbe82d-993b-4ddc-b6dc-f5a7a1d60689.achievement.json,f9dbe82d-993b-4ddc-b6dc-f5a7a1d60689,1552953600000,
2212,aadeeb2a-080b-4897-9cee-6dacb27a7b19.binning_data.json,1197022,6000,44,2019-02-08 15:35:07.386,com.sec.android.app.shealth,2019-02-07 16:19:09.776,aadeeb2a-080b-4897-9cee-6dacb27a7b19.source_info.json,1.398646,1674.21,95.659996,2168,VfS0qUERdZ,com.sec.android.app.shealth,0,aadeeb2a-080b-4897-9cee-6dacb27a7b19.achievement.json,aadeeb2a-080b-4897-9cee-6dacb27a7b19,1549584000000,
3116,8fbdbab0-1165-4119-b8a4-4410466a1b89.binning_data.json,1769242,6000,76,2019-02-11 14:40:00.464,com.sec.android.app.shealth,2019-02-10 16:32:24.429,8fbdbab0-1165-4119-b8a4-4410466a1b89.source_info.json,1.3515613,2391.24,132.93001,3040,VfS0qUERdZ,com.sec.android.app.shealth,0,8fbdbab0-1165-4119-b8a4-4410466a1b89.achievement.json,8fbdbab0-1165-4119-b8a4-4410466a1b89,1549843200000,
